method,equivalent_cost_yuan,risk_adjusted_cost_yuan,unserved_energy_kwh,generator_startups,diesel_fuel_l,solve_seconds,max_decision_seconds
ML-Robust-MPC,1531.649921673705,12009.340665913533,104.77690744239827,35,77.88538626051134,12.664470855999753,0.1072002239998255
Persistence-MPC,1592.8969921450514,12891.498236132042,112.98601243986991,45,80.19924572995575,10.056575764999707,0.0969931419999738
Risk-Adaptive-CVaR-MPC,1528.2615706515212,12172.03194267126,106.43770372019739,36,78.63682701774394,23.376998450999963,0.2069648990000132
Risk-Aware-Ensemble-MPC,1516.4551207538275,12065.036252178748,105.48581131424918,34,77.95860871823635,13.635158823999973,0.1076462609998998
Risk-SOC-Supervisory-MPC,1450.4368377606652,11906.24084319792,104.55804005437258,24,75.31760891399762,18.741594146999887,0.2122524800001883
Rule-Based,1673.467765868571,12154.609406210913,104.81141640342344,59,84.72375346272722,0.0287288990002706,9.417000001121778e-05
Scenario-CVaR-MPC,1536.2652273716014,12041.253766573489,105.04988539201888,37,79.05504163677185,23.401110412999515,0.2120126600002549
