method,equivalent_cost_yuan,risk_adjusted_cost_yuan,unserved_energy_kwh,generator_startups,diesel_fuel_l,solve_seconds,max_decision_seconds
ML-Robust-MPC,1400.0417744731224,11981.603588529788,105.81561814056666,28,64.46388764057363,8.313956612000766,0.0977910040001006
Persistence-MPC,1507.350317502282,12733.422013034044,112.26071695531765,44,70.42265702682926,6.837559195000267,0.0758152050002536
Risk-Adaptive-CVaR-MPC,1390.0770242474837,12256.755749018,108.6667872477052,30,63.84253992950836,19.902216468000006,0.2033335060000354
Risk-Aware-Ensemble-MPC,1374.3819353887252,12129.571481770223,107.551895463815,25,64.88067689991635,8.36506432599981,0.0718715719999636
Risk-SOC-Supervisory-MPC,1368.2041566015478,11817.55357887399,104.49349422272442,21,67.29068554515624,13.869403345000137,0.187886355000046
Rule-Based,1498.8247386748433,12201.376414025115,107.02551675350271,39,73.69686617058028,0.029135488000520002,3.53599998561549e-05
Scenario-CVaR-MPC,1393.8037006406234,11994.572717318737,106.00769016678112,30,64.15922388573762,20.26008415499973,0.2063248559998101
