method,equivalent_cost_yuan,risk_adjusted_cost_yuan,unserved_energy_kwh,generator_startups,diesel_fuel_l,solve_seconds,max_decision_seconds
ML-Robust-MPC,1438.82834549893,2187.1569669303726,7.4832862143144245,30,64.52428449262695,9.026058473988087,0.0866621489985846
Persistence-MPC,1379.3321195450599,4147.766636600607,27.684345170555467,34,49.55456989442666,12.64826278200053,0.0762153449977631
Risk-Adaptive-CVaR-MPC,1336.7143585766385,1885.0251412747848,5.483107826981466,20,58.208903098626045,35.874758126003144,0.3656706549954833
Risk-Aware-Ensemble-MPC,1445.1702232569928,1993.4810059551392,5.483107826981466,32,66.36367923218677,11.942973555000208,0.0853434859964181
Risk-SOC-Supervisory-MPC,1374.0743472227525,1922.385129920899,5.483107826981466,20,65.46741176014316,23.98949824799638,0.3621649800043087
Rule-Based,1545.5260447599694,2093.8368274581157,5.483107826981465,48,70.27354919200188,0.026176096005656103,3.2488998840563e-05
Scenario-CVaR-MPC,1350.3582407154875,1898.6690234136338,5.483107826981463,21,59.96437855060333,34.600347637991945,0.3629134240036364
