scenario,method,energy_cost_yuan,soc_restoration_cost_yuan,equivalent_cost_yuan,risk_adjusted_cost_yuan,grid_energy_kwh,generator_energy_kwh,diesel_fuel_l,generator_startup_cost_yuan,storage_throughput_kwh,unserved_energy_kwh,max_unserved_power_kw,spill_energy_kwh,minimum_soc_pct,final_soc_pct,restoration_reference_soc_pct,generator_startups,mean_generator_load_pct_when_on,mean_decision_seconds,p95_decision_seconds,max_decision_seconds,supervisory_protection_fraction,supervisory_mode_switches,solve_seconds
A_stable_drilling,Rule-Based,452.31455497758145,0.0,452.31455497758145,452.31455497758145,568.6510794470411,13.31206762289411,3.580890965650826,15.0,43.15953079357372,0.0,0.0,0.0,15.457030353420139,45.96605911759382,15.357824004213791,3,26.273817676764686,2.0024513792628163e-05,2.2246903608902357e-05,3.0440001864917576e-05,0.0,0,0.008640259999083355
A_stable_drilling,Persistence-MPC,427.11486504662963,0.3011007828161295,427.4159658294458,427.4159658294458,524.7700228780062,13.9843706779055,3.8836721204047713,25.0,1.1838709365753846,0.0,0.0,0.0,15.0,15.055086927498012,15.357824004213791,5,27.60073160112928,0.0042881346387528335,0.006248330495509436,0.01408600399736315,0.0,0,1.5466110390043468
A_stable_drilling,ML-Robust-MPC,432.49475890268036,0.34231454475649514,432.83707344743686,432.83707344743686,524.5872373730228,14.115315163567939,3.9503903562472305,30.0,1.2462874673089772,0.0,0.0,0.0,15.0,15.013649194611395,15.357824004213791,6,27.859174664936713,0.004169678558577693,0.005874752948147943,0.0117639490053989,0.0,0,1.5042681220002123
A_stable_drilling,Scenario-CVaR-MPC,426.9108625516468,0.26277964029983225,427.1736421919466,427.1736421919466,524.9166173522136,13.887776693696894,3.843044915856871,25.0,1.1609186684928026,0.0,0.0,0.0,15.0,15.093616321388287,15.357824004213791,5,27.410085579664923,0.010164410753047075,0.015054579347270197,0.0571958939981414,0.0,0,3.663347458001226
A_stable_drilling,Risk-Aware-Ensemble-MPC,432.52249348686405,0.311609597662344,432.8341030845264,432.8341030845264,524.6927270135216,14.04883205402249,3.944876101043949,30.0,1.2072809363557147,0.0,0.0,0.0,15.0,15.044521003834396,15.357824004213791,6,27.727958001360175,0.004147323530540032,0.005865867097236334,0.009367810002004262,0.0,0,1.4962093040012405
A_stable_drilling,Risk-Adaptive-CVaR-MPC,426.9108625516468,0.26277964029983225,427.1736421919466,427.1736421919466,524.9166173522136,13.887776693696894,3.843044915856871,25.0,1.1609186684928026,0.0,0.0,0.0,15.0,15.093616321388287,15.357824004213791,5,27.410085579664923,0.010390734241749062,0.015080051000768434,0.055653092997090425,0.0,0,3.744860738996067
A_stable_drilling,Risk-SOC-Supervisory-MPC,416.763790629638,0.0,416.763790629638,416.763790629638,527.5586740135319,12.492721439737128,3.3884414470539617,15.0,10.397391937799142,0.0,0.0,0.0,15.024721705215985,15.676071419822152,15.357824004213791,3,36.03669646078016,0.004840372972123279,0.006260649351679604,0.011818933999165893,1.0,1,1.7456492400015122
B_connection_transition,Rule-Based,492.73680097480354,39.063298067716055,531.8000990425196,1980.3540249431853,284.8602786314988,120.25725750301505,33.045596395602715,35.0,50.15309707333799,14.485539259006657,196.3032111727225,0.0,35.63270670604993,35.63270670604993,74.90828929767372,7,32.211765402593315,2.207493873558835e-05,3.0683004297316074e-05,0.00022953699954086915,0.0,0,0.009489220996329095
B_connection_transition,Persistence-MPC,386.4352351732482,59.584484994019775,446.01972016726796,6855.012673389431,237.25746453189285,92.16431137647454,25.53499387306243,15.0,75.79431256806653,64.08992953222163,496.1902356215353,0.0,15.0,15.0,74.90828929767372,3,29.043375433762986,0.005351410261088555,0.009873276800135502,0.05210972099303035,0.0,0,1.92966945200169
B_connection_transition,ML-Robust-MPC,426.84076075808304,59.584484994019775,486.4252457521028,4746.233450696984,240.97631380918276,110.15342896531794,30.485793509927486,15.0,80.01141130492172,42.59808204944881,496.1902356215353,0.0,15.0,15.0,74.90828929767372,3,34.42294655166185,0.008552516507996996,0.014427712945325773,0.07779185500112362,0.0,0,3.0820632169998134
B_connection_transition,Scenario-CVaR-MPC,460.3627721924278,42.867558470058285,503.2303306624861,1951.7842565631518,289.03082157972534,111.3813524725484,30.854286922441993,15.0,57.472659022243434,14.485539259006657,196.3032111727225,0.0,31.80777253451053,31.80777253451053,74.90828929767372,3,33.281280619287365,0.042738340022030266,0.1494871292026801,0.19288563100417377,0.0,0,15.39018961200054
B_connection_transition,Risk-Aware-Ensemble-MPC,454.6544999926433,53.47342627433475,508.1279262669781,1956.6818521676437,273.5359043453285,113.48068042163666,31.2611057412607,15.0,72.46308059105387,14.485539259006657,196.3032111727225,0.0,21.14426849087824,21.14426849087824,74.90828929767372,3,35.16963236207748,0.0077298441973349934,0.013172217903411368,0.10302482700353721,0.0,0,2.785938523004006
B_connection_transition,Risk-Adaptive-CVaR-MPC,460.3627721924278,42.867558470058285,503.2303306624861,1951.7842565631518,289.03082157972534,111.3813524725484,30.854286922441993,15.0,57.472659022243434,14.485539259006657,196.3032111727225,0.0,31.80777253451053,31.80777253451053,74.90828929767372,3,33.281280619287365,0.04264401694733048,0.148033655551626,0.1917134539980907,0.0,0,15.356008575996384
B_connection_transition,Risk-SOC-Supervisory-MPC,470.16363881326214,38.87665405597056,509.0402928692327,1957.5942187698984,287.4502230952572,118.07999559093025,32.39340228989947,15.0,53.341979310453304,14.485539259006657,196.3032111727225,0.0,35.820365010933315,35.820365010933315,74.90828929767372,3,35.28286720844529,0.0413900050473684,0.14291311344495627,0.19765855299920077,0.3527777777777778,1,14.904654464000487
C_tripping_impact,Rule-Based,416.35032470882464,5.130159712475742,421.4804844213004,941.1655018632805,245.35651220795143,87.39928283683255,23.685784668440053,60.0,29.330263401269026,5.196850174419801,210.22744094097766,0.0,55.72139799043077,55.738169333848134,60.896208246647554,12,24.642654935197147,2.052254739181889e-05,2.2931147759663874e-05,2.9757997253909707e-05,0.0,0,0.008894915001292247
C_tripping_impact,Persistence-MPC,356.3976175218505,45.29761769679883,401.6952352186494,2626.1668439091495,187.11668302085386,76.70995497686997,21.188121953281932,55.0,63.695555580973284,22.244716086905,491.0990498884755,0.0,15.0,15.352426409016322,60.896208246647554,11,25.123347699848235,0.010842430250057886,0.034297812601289494,0.07831048400112195,0.0,0,3.9067306310025742
C_tripping_impact,ML-Robust-MPC,370.99598826153425,45.34360353237692,416.33959179391115,1578.1704224468317,193.82761106720315,80.73916321041315,21.763873257661217,60.0,67.11305491104861,11.618308306529206,481.9892253619439,0.0,15.0,15.306190669264883,60.896208246647554,12,28.42928282056801,0.012265623375222074,0.04988916159891233,0.06856039299600525,0.0,0,4.419062038999982
C_tripping_impact,Scenario-CVaR-MPC,383.15600100012233,17.553054738544823,400.70905573866713,920.3940731806472,241.27846673540353,74.90012025489483,20.307675403582362,55.0,29.58787161837068,5.196850174419801,210.22744094097771,0.0,43.24776366513968,43.24776366513968,60.896208246647554,11,27.947806065259257,0.03808598709173465,0.1280598946515966,0.20927205299813068,0.0,0,13.715581897995435
C_tripping_impact,Risk-Aware-Ensemble-MPC,396.8415282415377,24.071464209169637,420.9129924507073,940.5980098926874,223.98645004647125,84.37242605103373,22.758157345851796,60.0,46.865162489232766,5.196850174419801,210.22744094097777,0.0,36.66986249257527,36.69393072748686,60.896208246647554,12,27.393644821764195,0.014930953897399174,0.05806126349998522,0.077162101995782,0.0,0,5.378681244998006
C_tripping_impact,Risk-Adaptive-CVaR-MPC,377.9129637753825,19.512115312622218,397.4250790880047,917.1100965299847,241.28784885223388,72.28358659428656,19.6041574535719,55.0,29.765752351633395,5.196850174419801,210.22744094097766,0.0,41.27805682559455,41.27805682559455,60.896208246647554,11,26.971487535181556,0.03996126701628479,0.13195213934668576,0.22895343299751403,0.0,0,14.39093720800156
C_tripping_impact,Risk-SOC-Supervisory-MPC,403.63107421384314,3.259287997643738,406.8903622114869,926.5753796534668,255.76073079300582,80.17722608302587,21.40422325726503,55.0,42.670550738228215,5.1968501744198,210.22744094097771,0.0,57.55865203777971,57.619208063011264,60.896208246647554,11,29.916875404114133,0.033449610024682545,0.10650743020232767,0.21797110400075326,0.2638888888888889,6,12.04620572499698
