scenario,method,energy_cost_yuan,soc_restoration_cost_yuan,equivalent_cost_yuan,risk_adjusted_cost_yuan,grid_energy_kwh,generator_energy_kwh,diesel_fuel_l,generator_startup_cost_yuan,storage_throughput_kwh,unserved_energy_kwh,max_unserved_power_kw,spill_energy_kwh,minimum_soc_pct,final_soc_pct,restoration_reference_soc_pct,generator_startups,mean_generator_load_pct_when_on,mean_decision_seconds,p95_decision_seconds,max_decision_seconds,supervisory_protection_fraction,supervisory_mode_switches,solve_seconds
A_stable_drilling,Rule-Based,533.9188821464681,0.0,533.9188821464681,533.9188821464681,525.7208035901413,61.0077773812371,16.24065540982853,35.0,24.191764548186903,0.0,0.0,0.0,19.509438527300464,36.305992675525786,19.474737128043465,7,28.95938799742267,2.332929723252164e-05,2.5719499967635786e-05,3.3633000384725165e-05,0.0,0,0.01008501000023898
A_stable_drilling,Persistence-MPC,526.7313480874186,4.4505511738663905,531.181899261285,531.181899261285,503.72667556822904,53.76650334617028,15.064158536791664,55.0,5.934237139480197,0.0,0.0,0.0,15.0,15.0,19.474737128043465,11,41.147834193497665,0.006509449999977177,0.009046369249813325,0.07374500499963688,0.0,0,2.34676381700001
A_stable_drilling,ML-Robust-MPC,518.3251698157976,4.435261481968046,522.7604312977656,522.7604312977656,505.8461463414373,51.660282602530124,14.412035807791499,50.0,5.794351618305417,0.0,0.0,0.0,15.0111835931931,15.015372781783887,19.474737128043465,10,39.5359305631608,0.006144206575011898,0.00866611960007049,0.08842053400030636,0.0,0,2.2152506470001754
A_stable_drilling,Scenario-CVaR-MPC,520.3762634060628,4.444020794660618,524.8202842007234,524.8202842007234,507.72567545367923,49.79948246082396,13.828938780134825,55.0,6.388063805810374,0.0,0.0,0.0,15.0,15.006565867720804,19.474737128043465,11,38.11184882205915,0.01506504121946111,0.03904027914977638,0.1473855550002554,0.0,0,5.427642186999947
A_stable_drilling,Risk-Aware-Ensemble-MPC,491.4456816114828,4.4376375333031985,495.883319144786,495.883319144786,508.2440225391852,49.25119104259019,13.270774413735355,30.0,5.637425307113537,0.0,0.0,0.0,15.012983818100023,15.012983818100023,19.474737128043465,6,37.69223804279861,0.005259148455555381,0.00875909329975002,0.014631771000040317,0.0,0,1.896574655999757
A_stable_drilling,Risk-Adaptive-CVaR-MPC,520.3762634060628,4.444020794660618,524.8202842007234,524.8202842007234,507.72567545367923,49.79948246082396,13.828938780134825,55.0,6.388063805810374,0.0,0.0,0.0,15.0,15.006565867720804,19.474737128043465,11,38.11184882205915,0.014779668283325817,0.03704637550015384,0.14356189900036043,0.0,0,5.324796406000132
A_stable_drilling,Risk-SOC-Supervisory-MPC,484.61003429274314,0.0,484.61003429274314,484.61003429274314,512.0550645455689,53.22206568518994,13.96454193378648,10.0,40.66167039705848,0.0,0.0,0.0,17.894454038050046,19.520396769592466,19.474737128043465,2,40.731172718257596,0.004881871066668787,0.008292871899720921,0.009897791000184952,1.0,1,1.7606498360000842
B_connection_transition,Rule-Based,570.3949828211803,0.165189073297331,570.5601718944777,570.5601718944777,422.35059517540367,92.45735307793966,24.689807187356898,85.0,1.1533822567823788,0.0,0.0,0.0,74.72994480504268,74.85794689843046,75.02403367073208,17,27.193339140570494,2.2009149994220124e-05,2.398525016360509e-05,3.0993000109447166e-05,0.0,0,0.009711217000131
B_connection_transition,Persistence-MPC,519.6029971743078,59.69960376874178,579.3026009430496,606.4934574460259,355.25776535348825,83.64049760221111,23.429688850546622,80.0,76.64221895970871,0.27190856502976307,101.6690211812288,0.0,15.0,15.0,75.02403367073208,16,38.484891534759704,0.00616219309166076,0.008333025800016004,0.07581520500025363,0.0,0,2.2218665489999694
B_connection_transition,ML-Robust-MPC,421.58944245894537,58.46270003117666,480.05214249012204,480.05214249012204,376.64003808608743,64.30771826817623,16.953411987699425,15.0,79.09568995927374,0.0,0.0,0.0,16.24362553357409,16.24362553357409,75.02403367073208,3,36.53847628873649,0.010607485858334561,0.05407611889977491,0.09779100400010066,0.0,0,3.822236831000282
B_connection_transition,Scenario-CVaR-MPC,465.2065164835131,7.126249569288664,472.3327660528018,472.3327660528018,440.91204470983246,65.27600896282958,17.309174573838476,20.0,14.351785444945659,0.0,0.0,0.0,67.38358885432905,67.85905740472565,75.02403367073208,4,32.85705149135716,0.027954647477771585,0.09622873395014724,0.2063248559998101,0.0,0,10.06795504799993
B_connection_transition,Risk-Aware-Ensemble-MPC,460.63518333378585,22.63592377086356,483.2711071046494,483.2711071046494,415.7248249845628,70.85374266513179,18.654939639214398,20.0,35.87884833346566,0.0,0.0,0.0,52.02709476432912,52.26509785176702,75.02403367073208,4,36.648487585413,0.011481374541676814,0.05838327370008756,0.07187157199996363,0.0,0,4.13687462200005
B_connection_transition,Risk-Adaptive-CVaR-MPC,465.2065164835131,7.126249569288664,472.3327660528018,472.3327660528018,440.91204470983246,65.27600896282958,17.309174573838476,20.0,14.351785444945659,0.0,0.0,0.0,67.38358885432905,67.85905740472565,75.02403367073208,4,32.85705149135716,0.02748093496388972,0.09438571209982458,0.2033335060000354,0.0,0,9.89749214099993
